id,city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
1,,,,Japan,8525221.0,,6.0,1990,2016,,,Total
2,Ville de Montreal,120118000000.0,1886481.0,Canada,,,,,2016,Stayed the same,,
3,Greater Manchester,87773000000.0,2762000.0,United Kingdom,,,,,2016,Decreased,,
4,City of Reno,10000000000.0,236995.0,USA,,,,,2016,This is our first year of calculation,,
5,City of Minneapolis,235700000000.0,407207.0,USA,,,,,2016,Increased,,
6,"City of London, ON",15400000000.0,375000.0,Canada,,,,,2016,Increased,,
7,Ville de Lausanne,8834000000.0,140000.0,Switzerland,,,,,2016,Decreased,,
8,City of Columbus,108089000000.0,835957.0,USA,,,,,2016,Decreased,,
9,Métropole Nice Côte d'Azur,,550000.0,France,,,,,2016,,,
10,Incheon Metropolitan City,68373000000000.0,2983484.0,South Korea,,,,,2016,Increased,,
11,City of Chicago,563188000000.0,2719000.0,USA,,,,,2016,Stayed the same,,
12,City of Melbourne,90600000000.0,137889.0,Australia,,,,,2016,Decreased,,
13,Aarhus Kommune,,320000.0,Denmark,,,,,2016,,,
14,"City of Richmond, VA",70491000000.0,217853.0,USA,,,,,2016,Decreased,,
15,City of Las Vegas,94521.0,621970.0,USA,,,,,2016,Increased,,
16,New York City,1558520000000.0,8491079.0,USA,,,,,2016,Increased,,
17,City of Warsaw,30041.0,1626514.0,Poland,,,,,2016,Decreased,,
18,City of Toronto,157300000000000.0,2753100.0,Canada,,,,,2016,Decreased,,
19,Birmingham City Council,84000000000.0,1101360.0,United Kingdom,,,,,2016,Decreased,,
20,City of Cardiff,,354300.0,United Kingdom,,,,,2016,Decreased,,
21,Municipality of Curitiba,79400000000.0,1751907.0,Brazil,,,,,2016,Increased,,
22,City of Cape Town,2467976.0,3918830.0,South Africa,,,,,2016,Decreased,,
23,City of Edmonton,45969000000.0,878000.0,Canada,,,,,2016,Increased,,
24,District of Columbia,116378000000.0,672228.0,USA,,,,,2016,Increased,,
25,Basel-Stadt,30864000000.0,197005.0,Switzerland,,,,,2016,Decreased,,
26,Bogor City Government,117412136000000.0,1030720.0,Indonesia,,,,,2016,Increased,,
27,City of Turku,8700000000.0,186000.0,Finland,,,,,2016,Stayed the same,,
28,City of Boston,103067100436.0,646000.0,USA,,,,,2016,Decreased,,
29,City of Flagstaff,4801000000.0,68667.0,USA,,,,,2016,Stayed the same,,
30,Gemeente Rotterdam,,624000.0,Netherlands,,,,,2016,Increased,,
31,Municipality of Belo Horizonte,81426708.0,2502557.0,Brazil,,,,,2016,Increased,,
32,Kaohsiung City Government,524493000000.0,2778729.0,Taiwan,,,,,2016,Stayed the same,,
33,New Taipei City Government,530043000000.0,3966818.0,Taiwan,,,,,2016,Increased,,
34,Municipalidad de La Paz,,,Bolivia,,,,,2016,This is our first year of calculation,,
35,Región Metropolitana de Santiago,125301713234.0,7314176.0,Chile,,,,,2016,This is our first year of calculation,,
36,City Government of Makati,,529039.0,Philippines,,,,,2016,Increased,,
37,Communauté urbaine du Grand Nancy,,265000.0,France,,,,,2016,,,
38,City of Lakewood,,149643.0,USA,,,,,2016,Decreased,,
39,City of Knoxville,37487000000.0,184281.0,USA,,,,,2016,Decreased,,
40,City of Roanoke,13900000000.0,98465.0,USA,,,,,2016,Decreased,,
41,City of Baltimore,43700000000000.0,622793.0,USA,,,,,2016,,,
42,City of Oakland,24080000000000.0,431500.0,USA,,,,,2016,Increased,,
43,Jakarta City Government,,10075300.0,Indonesia,,,,,2016,Decreased,,
44,Prefeitura de Florianópolis,8787850000.0,550000.0,Brazil,,,,,2016,Increased,,
45,City of Philadelphia,364000000000.0,1560297.0,USA,,,,,2016,Decreased,,
46,Stadt Heidelberg,7635000000.0,144948.0,Germany,,,,,2016,Decreased,,
47,Municipality of Recife,10837028.0,1555039.0,Brazil,,,,,2016,This is our first year of calculation,,
48,City of Brasília,171235.0,1409671.0,Brazil,,,,,2016,Increased,,
49,"University City, MO",,35371.0,USA,,,,,2016,This is our first year of calculation,,
50,Vilnius City Municipality,,542626.0,Lithuania,,,,,2016,Decreased,,
51,City of San Diego,206817000000.0,1400000.0,USA,,,,,2016,Stayed the same,,
52,Faro,13231.0,61214.0,Portugal,,,,,2016,Stayed the same,,
53,Santiago de Guayaquil,5862.0,2350915.0,Ecuador,,,,,2016,This is our first year of calculation,,
54,Metropolitan Municipality of Lima,,8755262.0,Peru,,,,,2016,This is our first year of calculation,,
55,City of Amsterdam,50047000000.0,822272.0,Netherlands,,,,,2016,Decreased,,
56,Greater London Authority,491550000000.0,8600000.0,United Kingdom,,,,,2016,Increased,,
57,City of Dallas,98746000000.0,1257676.0,USA,,,,,2016,Decreased,,
58,City of Zaragoza,33793459000.0,661108.0,Spain,,,,,2016,Decreased,,
59,Hoeje-Taastrup Kommune,3402000000.0,50002.0,Denmark,,,,,2016,Decreased,,
60,City of Albany,49621.0,97856.0,USA,,,,,2016,Other,,
61,Prefeitura de Palmas,899887.0,272726.0,Brazil,,,,,2016,This is our first year of calculation,,
62,City of Oslo,458449000000.0,658390.0,Norway,,,,,2016,Increased,,
63,Comune di Venezia,146605000000.0,263104.0,Italy,,,,,2016,Stayed the same,,
64,City of North Vancouver,,52346.0,Canada,,,,,2016,This is our first year of calculation,,
65,"Town of Ajax, ON",,109600.0,Canada,,,,,2016,Increased,,
66,City of Seattle,300827000000.0,662400.0,USA,,,,,2016,Decreased,,
67,Seoul Metropolitan Government,327602162000000.0,10297138.0,South Korea,,,,,2016,,,
68,Mexico City,2582213000000.0,8874724.0,Mexico,,,,,2016,Decreased,,
69,City of Helsinki,,612664.0,Finland,,,,,2016,Decreased,,
70,Addis Ababa City Administration,,3384569.0,Ethiopia,,,,,2016,This is our first year of calculation,,
71,Prefeitura do Rio de Janeiro,282538827000.0,6476631.0,Brazil,,,,,2016,Increased,,
72,Dublin City Council,29018660000.0,527612.0,Ireland,,,,,2016,This is our first year of calculation,,
73,Landeshauptstadt Magdeburg,,238000.0,Germany,,,,,2016,,,
74,Comune di Bologna,37033.0,386181.0,Italy,,,,,2016,Decreased,,
75,Município de Águeda,,47729.0,Portugal,,,,,2016,,,
76,Taipei City Government,,2704810.0,Taiwan,,,,,2016,Increased,,
77,City of Palo Alto,,66955.0,USA,,,,,2016,Decreased,,
78,Stadt Zürich,142400000000.0,404783.0,Switzerland,,,,,2016,Stayed the same,,
79,Canberra,34866000000.0,400000.0,Australia,,,,,2016,Increased,,
80,City of Atlanta,260000000000.0,443775.0,USA,,,,,2016,Increased,,
81,Comune di Ferrara,,133155.0,Italy,,,,,2016,Decreased,,
82,City of Vancouver,83600000000.0,603500.0,Canada,,,,,2016,Decreased,,
83,City of Burlington,12700000.0,42284.0,USA,,,,,2016,Decreased,,
84,City of Johannesburg,337000000000.0,4764381.0,South Africa,,,,,2016,Decreased,,
85,Comune di Torino,26933203382.0,898714.0,Italy,,,,,2016,Decreased,,
86,"City of Davis, CA",,65600.0,USA,,,,,2016,Decreased,,
87,City of Lisbon,68133192.0,547773.0,Portugal,,,,,2016,Decreased,,
88,Barreiro,,78764.0,Portugal,,,,,2016,Increased,,
89,Comune di Genova,25977591566.0,592995.0,Italy,,,,,2016,Other,,
90,City of Indianapolis,125000000000.0,850000.0,USA,,,,,2016,This is our first year of calculation,,
91,Abington Township,,55310.0,USA,,,,,2016,Decreased,,
92,City of Ljubljana,8220687536.0,287218.0,Slovenia,,,,,2016,This is our first year of calculation,,
93,Comune di Ravenna,,158911.0,Italy,,,,,2016,Decreased,,
94,Free and Hanseatic City of Hamburg,102500000000.0,1762791.0,Germany,,,,,2016,Decreased,,
95,City of Buenos Aires,78326876513.0,3054267.0,Argentina,,,,,2016,Decreased,,
96,City of Bournemouth,,191400.0,United Kingdom,,,,,2016,Decreased,,
97,City of Porto,,238954.0,Portugal,,,,,2016,Decreased,,
98,Tokyo Metropolitan Government,92900000000000.0,13513734.0,Japan,,,,,2016,Stayed the same,,
99,Bogotá Distrito Capital,50464206.0,7878783.0,Colombia,,,,,2016,Decreased,,
100,Ayuntamiento de San Luis Potosí,183992.0,824229.0,Mexico,,,,,2016,Increased,,
101,Pretoria - Tshwane,2739000000.0,3200000.0,South Africa,,,,,2016,Increased,,
102,City of Denver,187111000000.0,663862.0,USA,,,,,2016,Decreased,,
103,City of Iowa City,8564000000.0,73415.0,USA,,,,,2016,Decreased,,
104,City of Copenhagen,308279000000.0,591481.0,Denmark,,,,,2016,Decreased,,
105,Roma Capitale,90965338.0,2868347.0,Italy,,,,,2016,Decreased,,
106,Metropolitan Government of Nashville and Davidson County,106695000000.0,678889.0,USA,,,,,2016,Decreased,,
107,City of Goiânia,30131330.0,2173141.0,Brazil,,,,,2016,,,
108,Comune di Piacenza,,102269.0,Italy,,,,,2016,,,
109,City of Stockholm,416797.0,901989.0,Sweden,,,,,2016,Decreased,,
110,Município de Moita,,66029.0,Portugal,,,,,2016,Decreased,,
