city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
,,,Japan,8525221.0,,6.0,1990,2016,,,Total
Ville de Montreal,120118000000.0,1886481.0,Canada,,,,,2016,Stayed the same,,
Greater Manchester,87773000000.0,2762000.0,United Kingdom,,,,,2016,Decreased,,
City of Reno,10000000000.0,236995.0,USA,,,,,2016,This is our first year of calculation,,
City of Minneapolis,235700000000.0,407207.0,USA,,,,,2016,Increased,,
"City of London, ON",15400000000.0,375000.0,Canada,,,,,2016,Increased,,
Ville de Lausanne,8834000000.0,140000.0,Switzerland,,,,,2016,Decreased,,
City of Columbus,108089000000.0,835957.0,USA,,,,,2016,Decreased,,
Métropole Nice Côte d'Azur,,550000.0,France,,,,,2016,,,
Incheon Metropolitan City,68373000000000.0,2983484.0,South Korea,,,,,2016,Increased,,
City of Chicago,563188000000.0,2719000.0,USA,,,,,2016,Stayed the same,,
City of Melbourne,90600000000.0,137889.0,Australia,,,,,2016,Decreased,,
Aarhus Kommune,,320000.0,Denmark,,,,,2016,,,
"City of Richmond, VA",70491000000.0,217853.0,USA,,,,,2016,Decreased,,
City of Las Vegas,94521.0,621970.0,USA,,,,,2016,Increased,,
New York City,1558520000000.0,8491079.0,USA,,,,,2016,Increased,,
City of Warsaw,30041.0,1626514.0,Poland,,,,,2016,Decreased,,
City of Toronto,157300000000000.0,2753100.0,Canada,,,,,2016,Decreased,,
Birmingham City Council,84000000000.0,1101360.0,United Kingdom,,,,,2016,Decreased,,
City of Cardiff,,354300.0,United Kingdom,,,,,2016,Decreased,,
Municipality of Curitiba,79400000000.0,1751907.0,Brazil,,,,,2016,Increased,,
City of Cape Town,2467976.0,3918830.0,South Africa,,,,,2016,Decreased,,
City of Edmonton,45969000000.0,878000.0,Canada,,,,,2016,Increased,,
District of Columbia,116378000000.0,672228.0,USA,,,,,2016,Increased,,
Basel-Stadt,30864000000.0,197005.0,Switzerland,,,,,2016,Decreased,,
Bogor City Government,117412136000000.0,1030720.0,Indonesia,,,,,2016,Increased,,
City of Turku,8700000000.0,186000.0,Finland,,,,,2016,Stayed the same,,
City of Boston,103067100436.0,646000.0,USA,,,,,2016,Decreased,,
City of Flagstaff,4801000000.0,68667.0,USA,,,,,2016,Stayed the same,,
Gemeente Rotterdam,,624000.0,Netherlands,,,,,2016,Increased,,
Municipality of Belo Horizonte,81426708.0,2502557.0,Brazil,,,,,2016,Increased,,
Kaohsiung City Government,524493000000.0,2778729.0,Taiwan,,,,,2016,Stayed the same,,
New Taipei City Government,530043000000.0,3966818.0,Taiwan,,,,,2016,Increased,,
Municipalidad de La Paz,,,Bolivia,,,,,2016,This is our first year of calculation,,
Región Metropolitana de Santiago,125301713234.0,7314176.0,Chile,,,,,2016,This is our first year of calculation,,
City Government of Makati,,529039.0,Philippines,,,,,2016,Increased,,
Communauté urbaine du Grand Nancy,,265000.0,France,,,,,2016,,,
City of Lakewood,,149643.0,USA,,,,,2016,Decreased,,
City of Knoxville,37487000000.0,184281.0,USA,,,,,2016,Decreased,,
City of Roanoke,13900000000.0,98465.0,USA,,,,,2016,Decreased,,
City of Baltimore,43700000000000.0,622793.0,USA,,,,,2016,,,
City of Oakland,24080000000000.0,431500.0,USA,,,,,2016,Increased,,
Jakarta City Government,,10075300.0,Indonesia,,,,,2016,Decreased,,
Prefeitura de Florianópolis,8787850000.0,550000.0,Brazil,,,,,2016,Increased,,
City of Philadelphia,364000000000.0,1560297.0,USA,,,,,2016,Decreased,,
Stadt Heidelberg,7635000000.0,144948.0,Germany,,,,,2016,Decreased,,
Municipality of Recife,10837028.0,1555039.0,Brazil,,,,,2016,This is our first year of calculation,,
City of Brasília,171235.0,1409671.0,Brazil,,,,,2016,Increased,,
"University City, MO",,35371.0,USA,,,,,2016,This is our first year of calculation,,
Vilnius City Municipality,,542626.0,Lithuania,,,,,2016,Decreased,,
City of San Diego,206817000000.0,1400000.0,USA,,,,,2016,Stayed the same,,
Faro,13231.0,61214.0,Portugal,,,,,2016,Stayed the same,,
Santiago de Guayaquil,5862.0,2350915.0,Ecuador,,,,,2016,This is our first year of calculation,,
Metropolitan Municipality of Lima,,8755262.0,Peru,,,,,2016,This is our first year of calculation,,
City of Amsterdam,50047000000.0,822272.0,Netherlands,,,,,2016,Decreased,,
Greater London Authority,491550000000.0,8600000.0,United Kingdom,,,,,2016,Increased,,
City of Dallas,98746000000.0,1257676.0,USA,,,,,2016,Decreased,,
City of Zaragoza,33793459000.0,661108.0,Spain,,,,,2016,Decreased,,
Hoeje-Taastrup Kommune,3402000000.0,50002.0,Denmark,,,,,2016,Decreased,,
City of Albany,49621.0,97856.0,USA,,,,,2016,Other,,
Prefeitura de Palmas,899887.0,272726.0,Brazil,,,,,2016,This is our first year of calculation,,
City of Oslo,458449000000.0,658390.0,Norway,,,,,2016,Increased,,
Comune di Venezia,146605000000.0,263104.0,Italy,,,,,2016,Stayed the same,,
City of North Vancouver,,52346.0,Canada,,,,,2016,This is our first year of calculation,,
"Town of Ajax, ON",,109600.0,Canada,,,,,2016,Increased,,
City of Seattle,300827000000.0,662400.0,USA,,,,,2016,Decreased,,
Seoul Metropolitan Government,327602162000000.0,10297138.0,South Korea,,,,,2016,,,
Mexico City,2582213000000.0,8874724.0,Mexico,,,,,2016,Decreased,,
